user_id,item_id,rating,timestamp,robinson_rating
196,242,3,881250949,-0.9612642741796633
186,302,3,891717742,-0.6519937636491195
22,377,1,878887116,-1.9819405836655621
244,51,2,880606923,-2.108282074806913
166,346,1,886397596,-2.3992191182307607
298,474,4,884182806,-0.09874388942434655
115,265,2,881171488,-2.2662289732310104
253,465,5,891628467,1.5559832096479984
305,451,3,886324817,-0.6058672452085508
6,86,3,883603013,-1.056703624456532
62,257,2,879372434,-1.6758367168743502
286,1014,5,879781125,1.744857950789575
200,222,5,876042340,1.6278804228271002
210,40,3,891035994,-1.8280059368225214
224,29,3,888104457,-0.19302025539784573
303,785,3,879485318,-0.5629485160962094
122,387,5,879270459,1.5762951436488668
194,274,2,879539794,-1.422317996105718
291,1042,4,874834944,0.2836412068539485
234,1184,2,892079237,-1.827284173182745
119,392,4,886176814,-0.15023158748635382
167,486,4,892738452,0.3352533601739553
299,144,4,877881320,0.8062309217435053
291,118,2,874833878,-2.23945550458814
308,1,4,887736532,0.420072250018279
95,546,2,879196566,-1.8255149655467577
38,95,5,892430094,0.9869941781656076
102,768,2,883748450,-1.148551912015024
63,277,4,875747401,1.37726007274559
160,234,5,876861185,1.6978757268272098
50,246,3,877052329,-0.6234923503295392
301,98,4,882075827,0.6136595975827054
225,193,4,879539727,-1.380774414301891
290,88,4,880731963,1.0382095386834795
97,194,3,884238860,-1.6123692768361686
157,274,4,886890835,0.0
181,1081,1,878962623,-0.6759525041302396
278,603,5,891295330,1.0677781498651748
276,796,1,874791932,-3.3205928023575217
7,32,4,891350932,-0.1661393070693267
10,16,4,877888877,-0.4363276658301807
284,304,4,885329322,0.8334606815835842
201,979,2,884114233,-1.4369286125593324
276,564,3,874791805,-0.804418171992914
287,327,5,875333916,1.2997366958948393
246,201,5,884921594,2.5018099100733746
242,1137,5,879741196,0.8740008545134011
249,241,5,879641194,1.4665968973086227
99,4,5,886519097,2.142921027366908
178,332,3,882823437,-1.2372495797269203
251,100,4,886271884,0.27248920988310765
81,432,2,876535131,-1.7522297530444846
260,322,4,890618898,-0.35071399041320783
25,181,5,885853415,2.1117929187774074
59,196,5,888205088,1.5551117826600211
72,679,2,880037164,-2.2983957276931797
87,384,4,879877127,0.268450748133333
290,143,5,880474293,2.7414227115857868
42,423,5,881107687,1.8683050655878275
292,515,4,881103977,-0.531065606607292
